,eval_loss,eval_f1,eval_acc,eval_f0_5,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,step,loss,learning_rate,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0,0.6527367234230042,0.33886900501073725,0.7103430972840745,0.44020829458806027,0.8833,89.435,5.66,1.0,67,,,,,,,
1,0.5919274687767029,0.4255072463768116,0.8135231763156244,0.4732430689877498,0.8883,88.929,5.628,2.0,134,,,,,,,
2,0.567359983921051,0.44888299886406663,0.8174120303581509,0.5049192895779206,0.8764,90.137,5.705,3.0,201,,,,,,,
3,0.5537400245666504,0.46634429400386845,0.8269459951075707,0.5183831434100192,0.8876,89.0,5.633,4.0,268,,,,,,,
4,0.5355982780456543,0.4825538233110616,0.8251270149909051,0.548731585834283,0.8966,88.115,5.577,5.0,335,,,,,,,
5,0.5226052403450012,0.48631729565372916,0.8198582449978047,0.5641781134581069,0.8855,89.214,5.646,6.0,402,,,,,,,
6,0.5251877903938293,0.4942128540510022,0.831430721946936,0.5577266162603007,0.8831,89.455,5.662,7.0,469,,,,,,,
7,,,,,,,,7.46,500,0.5681,5.024875621890548e-05,,,,,
8,0.528573215007782,0.5018871576502467,0.8385811955090008,0.55768238128011,0.8862,89.147,5.642,8.0,536,,,,,,,
9,0.5335703492164612,0.5068742418115648,0.8470174998431914,0.5496119612399701,0.889,88.859,5.624,9.0,603,,,,,,,
10,,,,,,,,9.0,603,,,200.159,79.212,5.021,2412938626947072.0,0.5579252606798365
11,0.5514857769012451,0.49541921154913937,0.8082755346923706,0.5660407282877625,1.0847,89.427,6.454,9.0,603,,,,,,,
