,eval_loss,eval_f1,eval_acc,eval_f0_5,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,step,loss,learning_rate,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0,0.6954494118690491,0.21165413533834584,0.6054067615881578,0.2924675324675325,0.8851,89.253,5.649,1.0,67,,,,,,,
1,0.6852228045463562,0.2421885476733271,0.6455497710593991,0.3244816558266556,0.8728,90.511,5.729,2.0,134,,,,,,,
2,0.6734281182289124,0.27819876317393955,0.740105375399862,0.3273077553697327,0.8873,89.033,5.635,3.0,201,,,,,,,
3,0.6521579623222351,0.331765087605451,0.7416420999811829,0.40506278968426884,0.8717,90.628,5.736,4.0,268,,,,,,,
4,0.625616192817688,0.365295315682281,0.755660791569968,0.4450178642318381,0.8767,90.106,5.703,5.0,335,,,,,,,
5,0.6341742277145386,0.38053711227826775,0.8039578498400552,0.4172824480570286,0.887,89.067,5.637,6.0,402,,,,,,,
6,0.6369945406913757,0.39330543933054396,0.8135545380417738,0.42418772563176893,0.8764,90.146,5.705,7.0,469,,,,,,,
7,,,,,,,,7.46,500,0.6526,1.0049751243781096e-05,,,,,
8,0.6300998330116272,0.4043002109916608,0.8140563256601643,0.43991603988105654,0.8781,89.972,5.694,8.0,536,,,,,,,
9,,,,,,,,8.0,536,,,177.9003,89.123,5.649,2144834335064064.0,0.6484174835148142
10,0.6357375979423523,0.3754605747973471,0.7317967245971676,0.4576073289024609,1.0918,88.84,6.411,8.0,536,,,,,,,
